Winery,Wine name,Vintage,Region,Country,Regional wine style,Average rating,Scan date,Scan/Review Location,Your rating,Your review,Personal Note,Wine type,Drinking Window,Link to wine,Label image
Château Bouscassé,Madiran,2019,Madiran,France,Southwest France Madiran Red,3.8,2024-10-25 09:51:40,,,,,Red Wine,,https://www.vivino.com/wines/159748360,https://images.vivino.com/labels/tGGfb6ZDQ0eMdq6ovXASAA.jpg
Domaine des Pasquiers,Côtes du Rhône Villages Plan de Dieu,2023,Côtes-du-Rhône-Villages 'Plan de Dieu',France,Southern Rhône Red,3.8,2024-10-12 12:08:42,,,,,Red Wine,,https://www.vivino.com/wines/173795012,https://images.vivino.com/labels/7aS_y6HyQV2IjZHoR5g-Ig.jpg
Château La Grave (Trigant de Boisset),Pomerol,2017,Pomerol,France,Bordeaux Pomerol,4.2,2024-10-03 08:31:23,,,,,Red Wine,,https://www.vivino.com/wines/155671771,https://images.vivino.com/labels/NdFmBEo3RmuGnUaTxdWbbg.jpg
Jean Fournier,Cuvée Saint-Urbain Marsannay Rouge,2019,Marsannay,France,Burgundy Côte de Nuits Red,4.0,2024-10-03 08:28:15,,,,,Red Wine,,https://www.vivino.com/wines/162523727,https://images.vivino.com/labels/SouzCJ23SwKXgNlVPCnTlQ.jpg
Château l'Hospitalet,La Réserve La Clape,2022,La Clape,France,Languedoc-Roussillon Red,4.0,2024-09-12 15:39:42,,,,,Red Wine,,https://www.vivino.com/wines/170475674,https://images.vivino.com/labels/Ao1mM2tWTsS9stO1b2HUzw.jpg
Château Mont-Redon,Vignoble Abeille Châteauneuf-du-Pape,2021,Châteauneuf-du-Pape,France,Southern Rhône Châteauneuf-du-Pape Red,4.2,2024-09-03 13:11:13,,,,,Red Wine,,https://www.vivino.com/wines/167142758,https://images.vivino.com/labels/1j9AvWeiSBeLHQnNwTI5hA.jpg
Vignobles Mayard,Le Hurlevent Châteauneuf-du-Pape,2022,Châteauneuf-du-Pape,France,Southern Rhône Châteauneuf-du-Pape Red,4.1,2024-09-03 13:11:04,,,,,Red Wine,,https://www.vivino.com/wines/170544862,https://images.vivino.com/labels/KTVNorXAQrihv_aE9IEDQg.jpg
Domaine du Vieux Lazaret,Châteauneuf-du-Pape,1995,Châteauneuf-du-Pape,France,Southern Rhône Châteauneuf-du-Pape Red,4.2,2024-09-03 13:10:50,,,,,Red Wine,,https://www.vivino.com/wines/3597389,https://images.vivino.com/labels/HOOLszJrSyKoioz3jWKi2A.jpg
La Spinetta,Ca' di Pian Barbera d'Asti,2021,Barbera d'Asti,Italy,Italian Barbera,4.0,2024-07-01 16:47:27,,,,,Red Wine,,https://www.vivino.com/wines/170457970,https://images.vivino.com/labels/6dIh3xeZRxeBI8zku0W8wA.jpg
Riecine,Chianti Classico,2021,Chianti Classico,Italy,Italian Chianti Classico Red,4.0,2024-07-01 16:46:53,,,,,Red Wine,,https://www.vivino.com/wines/173018479,https://images.vivino.com/labels/Fn5BJDi1RMGci2JLY1-gwg.jpg
Orma,Passi di Orma Bolgheri,2022,Bolgheri,Italy,Italian Bolgheri,4.0,2024-07-01 16:46:44,,,,,Red Wine,,https://www.vivino.com/wines/171106945,https://images.vivino.com/labels/szQudG5UTSu9y_V92CC5mg.jpg
Giacomo Grimaldi,Barolo,2019,Barolo,Italy,Italian Barolo,4.0,2024-06-28 16:49:32,,,,,Red Wine,,https://www.vivino.com/wines/160138016,https://images.vivino.com/labels/KXL26JifRJGXylIiVDznRA.jpg
Luigi Oddero,Barolo,2019,Barolo,Italy,Italian Barolo,4.1,2024-06-28 16:49:27,,,,,Red Wine,,https://www.vivino.com/wines/161943477,https://images.vivino.com/labels/YdnNiiW0Tle0hqj0sK203Q.jpg
Château La Création,Pomerol,2018,Pomerol,France,Bordeaux Pomerol,4.0,2024-06-28 16:48:32,,,,,Red Wine,,https://www.vivino.com/wines/157870331,https://images.vivino.com/labels/nFgpQsj8TAOo8bli7CFz4g.jpg
Orma,Passi di Orma Bolgheri,2022,Bolgheri,Italy,Italian Bolgheri,4.0,2024-06-28 16:47:48,,,,,Red Wine,,https://www.vivino.com/wines/171106945,https://images.vivino.com/labels/hcrqBWy6Tc2jy4tgz53FKQ.jpg
Palmer & Co.,Blanc de Blancs Champagne,2016,Champagne,France,French Champagne,4.1,2024-06-28 16:46:07,,,,,Sparkling,,https://www.vivino.com/wines/146192480,https://images.vivino.com/labels/mIKuo9GMTNezCB7USa9vOg.jpg
Vve Fourny & Fils,Blanc de Blancs Vertus Brut Champagne Premier Cru,,Champagne Premier Cru,France,French Champagne,4.1,2024-06-28 16:45:53,,,,,Sparkling,,https://www.vivino.com/wines/3093767,https://images.vivino.com/labels/F1_qE0mTTTmYvhE4jzXxzg.jpg
Château Cadet-Bon,Saint-Émilion Grand Cru (Grand Cru Classé),2018,Saint-Émilion Grand Cru,France,Bordeaux Saint-Émilion,4.1,2024-06-07 15:21:33,,,,,Red Wine,,https://www.vivino.com/wines/157870379,https://images.vivino.com/labels/Z8pjw6T3TFWQeacy5IODPA.jpg
Château La Création,Pomerol,2018,Pomerol,France,Bordeaux Pomerol,4.0,2024-06-07 15:21:26,,,,,Red Wine,,https://www.vivino.com/wines/157870331,https://images.vivino.com/labels/iFo-6Hs1ToqWmLgFr-oC5A.jpg
Château Gloria,Saint-Julien,2019,Saint-Julien,France,Bordeaux Saint-Julien,4.1,2024-06-07 15:19:31,,,,,Red Wine,,https://www.vivino.com/wines/160021490,https://images.vivino.com/labels/T6SKnb9jQvKpELXcqnJZmA.jpg
Château Cantemerle,Haut-Médoc (Grand Cru Classé),2021,Haut-Médoc,France,Bordeaux Haut-Médoc Red,4.0,2024-06-07 15:19:11,,,,,Red Wine,,https://www.vivino.com/wines/167153603,https://images.vivino.com/labels/QAqWelxsTgSBiTmsdf2qjw.jpg
Castello Romitorio,Filo di Seta Brunello di Montalcino,2015,Brunello di Montalcino,Italy,Italian Brunello,4.3,2024-03-23 12:45:28,,,,,Red Wine,,https://www.vivino.com/wines/142050774,https://images.vivino.com/labels/tJdxIPtLTq2TvyIclU-4Tg.jpg
Alessandro e Gian Natale Fantino,Barolo (Cascina Dardi),2017,Barolo,Italy,Italian Barolo,4.3,2024-03-23 12:44:20,,,,,Red Wine,,https://www.vivino.com/wines/154262387,https://images.vivino.com/labels/-NybCGRtTCqwN2as2wPHnw.jpg
Luigi Righetti,Amarone della Valpolicella Classico,2019,Amarone della Valpolicella,Italy,Italian Amarone,3.9,2024-03-08 17:40:45,,,,,Red Wine,,https://www.vivino.com/wines/159349800,https://images.vivino.com/labels/-_ywcPJRRUuZm_gej02EjA.jpg
Alpha Zeta,A Amarone della Valpolicella,2020,Amarone della Valpolicella,Italy,Italian Amarone,4.1,2024-03-08 17:40:31,,,,,Red Wine,,https://www.vivino.com/wines/164645998,https://images.vivino.com/labels/L5h4-oQCQ4Cui_v6vNMKvw.jpg
Luigi Righetti,Capitel de Roari Amarone della Valpolicella Classico,2019,Amarone della Valpolicella Classico,Italy,Italian Amarone,4.1,2024-03-08 17:40:24,,,,,Red Wine,,https://www.vivino.com/wines/159366306,https://images.vivino.com/labels/W9UPt_UNSyqqx1cO-OUbew.jpg
Château Gloria,Saint-Julien,2019,Saint-Julien,France,Bordeaux Saint-Julien,4.1,2024-02-28 15:49:10,,,,,Red Wine,,https://www.vivino.com/wines/160021490,https://images.vivino.com/labels/Z-IjHQwMT76JZIW9dvdBOA.jpg
Umurbey,Cabernet Sauvignon - Merlot,2021,Thrace,Turkey,,3.6,2024-02-23 14:24:08,,,,,Red Wine,,https://www.vivino.com/wines/172861567,https://images.vivino.com/labels/m4rYX27oS5W09rojKtUfqg.jpg
Angel's Estate,Stallion Classic,,Thracian Valley,Bulgaria,,4.2,2024-02-23 14:23:47,,,,,Red Wine,,https://www.vivino.com/wines/3502599,https://images.vivino.com/labels/E3l49s0xTHySMmx9OIN9VQ.jpg
Château d'Issan,Margaux (Grand Cru Classé),2019,Margaux,France,Bordeaux Margaux,4.2,2024-02-23 14:22:43,,,,,Red Wine,,https://www.vivino.com/wines/160089628,https://images.vivino.com/labels/y4VtrBoEQ4yzqWpXZA5EeA.jpg
Union de Producteurs de Saint-Émilion,Les Hauts de Granget Saint-Emilion Grand Cru,2018,Saint-Émilion Grand Cru,France,Bordeaux Saint-Émilion,3.9,2024-01-20 12:38:03,,,,,Red Wine,,https://www.vivino.com/wines/156556332,https://images.vivino.com/labels/sXR6dDxXRJCqetvomlmbvg.jpg
Château Mont-Redon,Vignoble Abeille Châteauneuf-du-Pape,2019,Châteauneuf-du-Pape,France,Southern Rhône Châteauneuf-du-Pape Red,4.2,2024-01-20 12:37:29,,,,,Red Wine,,https://www.vivino.com/wines/159352859,https://images.vivino.com/labels/pd7OhYc3SEGBDG-rT2IpCA.jpg
Il Cinghiale Sfuggente Governo,La Bestia Governo All'Uso Toscano,2021,Toscana,Italy,Tuscan Red,4.0,2024-01-19 16:43:26,,,,,Red Wine,,https://www.vivino.com/wines/167627662,https://images.vivino.com/labels/Kag7XuPFQL-SATjO6UBMsg.jpg
Jean Vidérue,Châteauneuf-du-Pape,2022,Châteauneuf-du-Pape,France,Southern Rhône Châteauneuf-du-Pape Red,4.1,2024-01-13 11:41:11,,,,,Red Wine,,https://www.vivino.com/wines/170716273,https://images.vivino.com/labels/FBZG3tk1T5OVVR9VRYSK0Q.jpg
Bosquet des Papes,Châteauneuf-du-Pape (Cuvée Tradition),2020,Châteauneuf-du-Pape,France,Southern Rhône Châteauneuf-du-Pape Red,4.1,2023-12-13 12:37:59,,,,,Red Wine,,https://www.vivino.com/wines/163086226,https://images.vivino.com/labels/C7wz4w5hS02074httSolww.jpg
Luigi Righetti,Capitel de Roari Amarone della Valpolicella Classico,2019,Amarone della Valpolicella Classico,Italy,Italian Amarone,4.1,2023-11-24 17:50:14,,,,,Red Wine,,https://www.vivino.com/wines/159366306,https://images.vivino.com/labels/2lXM2zMbScCfonuImiA6ug.jpg
Luigi Righetti,Amarone della Valpolicella Classico,2019,Amarone della Valpolicella,Italy,Italian Amarone,3.9,2023-11-24 17:50:06,,,,,Red Wine,,https://www.vivino.com/wines/159349800,https://images.vivino.com/labels/XAfBthKSRPqctXMysEmu3w.jpg
Fontanafredda,Barolo Serralunga d'Alba,2018,Barolo,Italy,Italian Barolo,4.0,2023-10-12 16:25:17,,,,,Red Wine,,https://www.vivino.com/wines/166078614,https://images.vivino.com/labels/jL3WytuGREKjolWyut_e8w.jpg
Prunotto,Barbaresco,2020,Barbaresco,Italy,Italian Barbaresco,4.0,2023-10-12 16:24:49,,,,,Red Wine,,https://www.vivino.com/wines/163284359,https://images.vivino.com/labels/Vn6hgHN8RQKdrsgzQWnm4w.jpg
Val di Suga,Brunello di Montalcino,2018,Brunello di Montalcino,Italy,Italian Brunello,4.0,2023-10-12 16:24:38,,,,,Red Wine,,https://www.vivino.com/wines/156694168,https://images.vivino.com/labels/VFUrkq5YSE6ZfqfkXU8W9g.jpg
Armatura,Brunello di Montalcino,2018,Brunello di Montalcino,Italy,Italian Brunello,4.0,2023-10-12 16:24:16,,,,,Red Wine,,https://www.vivino.com/wines/168734593,https://images.vivino.com/labels/8BObEZ9sRkKKr0LWBazKHA.jpg
Château Philippe-Le-Hardi,Les Bois de Lalier Mercurey,,Mercurey,France,Burgundy Côte Chalonnaise White,4.1,2023-05-12 16:54:39,,,,,White Wine,,https://www.vivino.com/wines/173135101,https://images.vivino.com/labels/AIynw8uhQh61ogS3xzlOiQ.jpg
Jean Vidérue,Châteauneuf-du-Pape,2020,Châteauneuf-du-Pape,France,Southern Rhône Châteauneuf-du-Pape Red,4.1,2023-02-18 12:01:27,,,,,Red Wine,,https://www.vivino.com/wines/170915295,https://images.vivino.com/labels/XJsT6aTbSEytI1njtUcvNg.jpg
Vignobles Mayard,Le Hurlevent Châteauneuf-du-Pape,2021,Châteauneuf-du-Pape,France,Southern Rhône Châteauneuf-du-Pape Red,4.1,2023-02-18 12:01:05,,,,,Red Wine,,https://www.vivino.com/wines/169173693,https://images.vivino.com/labels/mHmbzHfLTt6oT2zWDZr2tQ.jpg
Prunotto,Barbaresco,2019,Barbaresco,Italy,Italian Barbaresco,4.0,2023-01-03 16:34:24,,,,,Red Wine,,https://www.vivino.com/wines/159335851,https://images.vivino.com/labels/vVr4QUMnTGG1P-a4co4HPQ.jpg
Château Philippe-Le-Hardi,Les Cheneaults Mercurey,2020,Mercurey,France,Burgundy Côte Chalonnaise Red,4.2,2022-12-23 14:59:36,,,,,Red Wine,,https://www.vivino.com/wines/169952453,https://images.vivino.com/labels/NwPJ19olRAChPs6My3qTeg.jpg
Cerbaia,Brunello di Montalcino,2017,Brunello di Montalcino,Italy,Italian Brunello,4.1,2022-10-24 15:47:47,,,,,Red Wine,,https://www.vivino.com/wines/156373186,https://images.vivino.com/labels/R-qEd9M4RQKtPhONpR0rZA.jpg
Josetta Saffirio,Barolo,2018,Barolo,Italy,Italian Barolo,4.0,2022-10-24 15:47:14,,,,,Red Wine,,https://www.vivino.com/wines/156786940,https://images.vivino.com/labels/WFDoOgxpT_eEEX0XZDC9uQ.jpg
Louis Jadot,Château des Jacques Moulin-a-Vent Champ de Cour,2020,Moulin-à-Vent,France,Beaujolais Red,3.9,2022-10-14 15:04:42,,,,,Red Wine,,https://www.vivino.com/wines/169436023,https://images.vivino.com/labels/fu49RGH4T225g9vqEKOU8Q.jpg
Enzo Bartoli,Barolo,2017,Barolo,Italy,Italian Barolo,4.0,2022-09-08 13:13:21,,,,,Red Wine,,https://www.vivino.com/wines/157049369,https://images.vivino.com/labels/OwGT_nVcSPeR7ocVDI1zSg.jpg
Corvus Vineyards,Illium Kirmizi Sek Şarap,2015,Aegean,Turkey,,4.2,2022-06-05 12:03:21,,,,,Red Wine,,https://www.vivino.com/wines/157452602,https://images.vivino.com/labels/IyvA2H-9SgCTnU_xCTMmgg.jpg
Corvus Vineyards,Karga Blush,2016,Aegean,Turkey,,4.1,2022-06-05 12:03:12,,,,,Rosé Wine,,https://www.vivino.com/wines/169020969,https://images.vivino.com/labels/rl6xqkPWRHy-t3SCluWrew.jpg
Urla Winery,Tempus,2019,Aegean,Turkey,,4.2,2022-06-05 12:01:18,,,,,Red Wine,,https://www.vivino.com/wines/160175957,https://images.vivino.com/labels/XwzTYiCuQpiEnD7lb_4q9g.jpg
Corvus Vineyards,Cabernet Sauvignon,2018,Aegean,Turkey,,4.0,2022-06-05 12:00:55,,,,,Red Wine,,https://www.vivino.com/wines/160653108,https://images.vivino.com/labels/99WHEfzzRiKwQE9d-wz9wA.jpg
Suvla,Reserve Merlot Single Vineyard Bozokbag,2018,Thrace,Turkey,,3.7,,,,,,Red Wine,,https://www.vivino.com/wines/160659911,
Alessandro e Gian Natale Fantino,Barolo (Cascina Dardi),2021,Barolo,Italy,Italian Barolo,4.3,2022-05-30 08:35:28,,,,,Red Wine,,https://www.vivino.com/wines/170339504,https://images.vivino.com/labels/cFTwA-IxQcOw5zfDJYZHPA.jpg
